texto
"Reconheço o valor da cultura e a necessidade de incentivá-la, mas isso não deve estar a cargo de uma petrolífera estatal. A soma dos patrocínios dos últimos anos passa de R$ 3 BILHÕES. Determinei a reavaliação dos contratos. O Estado tem maiores prioridades."
"Além disso, incentivos devem ser direcionados de forma justa, enxuta, transparente e responsável, mas jamais em detrimento das principais demandas de nossa sociedade."
"Nosso estado de saúde comentado pelo porta-voz da Presidência da República, General Rêgo Barros. Cuidado com o sensacionalismo. Estamos muito tranquilos, bem e seguimos firmes ____. https://t.co/Xm4D9oZtB5"
"RT @Min_Agricultura: Portaria assinada hoje pela ministra prorroga por 2 anos as DAPs. Essa é a primeira medida das metas dos cem dias de governo. Vai facilitar a vida de 2,5 milhões de pequenos produtores. https://t.co/GzjkMfptNr"
"RT @MInfraestrutura: O @DNIToficial enviou à BR-364, em Rondônia, equipes para restabelecer o tráfego e realizar a devida sinalização no segmento da cabeceira da ponte sobre o Igarapé Andirá. Por conta das chuvas na madrugada, houve um desmoronamento no local. Saiba mais __ https://t.co/6SHUJl6XgR https://t.co/PGioGFB65a"
"RT @ernestofaraujo: Dias de encontros muito úteis em Washington com o governo dos EUA, formadores de opinião, empresários, congressistas, OEA, líderes da nova Venezuela e diplomatas de outros países. Enorme interesse pela política externa do gov Bolsonaro. O Brasil volta a falar com sua própria voz."
"RT @tarcisiogdf: Reunião com diretores do Conselho Empresarial Brasil-Estados Unidos. Há um novo olhar sobre a carteira de projetos do @governodobrasil para portos, aeroportos, ferrovias e rodovias. Investidores americanos demonstrando interesse nos ativos apresentados. https://t.co/lc7PlhhoMX"
RT @planalto: A agenda econômica do governo federal deve impulsionar as vendas de produtos brasileiros no exterior. A projeção do mercado é de crescimento de cerca de 20% nas exportações nos próximos quatro anos. Saiba mais: https://t.co/HsgKSn21Sb https://t.co/xTzR4J3qmA
Mais sobre o trabalho em Brumadinho - MG. Que Deus conforte todos! https://t.co/tQpY1kQZkB
"Governos passados visavam “negócios” somente pelo lado ideológico, quase destruindo o Brasil. Pela manutenção no poder usavam o dinheiro público patrocinando governos companheiros de formas desinteressantes para nosso país. Sem este viés estamos mudando a direção da nação! https://t.co/dhxMphcYJj"
____ https://t.co/exsZZnS9dK
"Nota da Presidência da República, via Secretaria Especial de Comunicação, sobre o incêndio no Ninho do Urubu. Que Deus conforte seus familiares! https://t.co/plnqfb61WZ"
"Nas últimas horas tive o prazer de voltar a comer. Ontem pela noite um caldo de carne e hoje uma boa gelatina. Estou feliz, apesar de não ser aquele pão com leite condensado kkkk. Bom dia a todos! ______ https://t.co/VqFc7YYfR2"
"Sem sonda, alimentado, em recuperação plena, necessária e sem distorções. Agora despachando com o Ministro da Infraestrutura Tarcísio Gomes e com o Subchefe de Assuntos Jurídicos, Jorge Francisco de Oliveira. O Brasil não pode parar! ________ https://t.co/scevsuFbFw"
"REGIÃO AMAZÔNICA: a @Caixa aumentará o número de embarcações-serviço levando desenvolvimento social aos rincões do Brasil. A integração com outros Ministérios, como o @DefesaGovBr é prioritário para que neste segundo mês de governo possamos ir mais longe. https://t.co/BNKBMIE5q3"
Desburocratização e Economia: https://t.co/nfN6dHpmdd
@Pedro_Medeirosx __
@IMiquilini Bom Dia! Muito obrigado pela consideração. Um ótimo sábado para a senhora e um forte abraço!
https://t.co/c7XoOohHhK
